source_path,target_path,service,surface,layer,capability,donor_value,risk,normalization_needed,decision,reason,verification
dsh/frontend/screens/ (checkout),apps/app-client/runtime/src/features/checkout/,dsh,app-client,frontend-surface,checkout-intent-shell,Checkout screen showing order summary and payment method selector.,HIGH — likely has embedded payment/WLT logic. REJECT_FINANCE_BOUNDARY_VIOLATION if it computes ledger.,Extract: order summary display only. Reject: any payment amount calculation or WLT mutation calls.,REJECT_FINANCE_BOUNDARY_VIOLATION,"Any checkout screen that computes payment total or calls WLT directly from DSH screen violates financial boundary.","N/A — requires manual review before any extraction"
control-panel/runtime/src/ (stores),apps/control-panel/runtime/src/features/stores/,dsh,control-panel,frontend-surface,stores-admin,Control panel stores management pages (list + detail + edit).,MEDIUM — Next.js pages. Check for direct fetch and old API base URL.,Replace any hardcoded API URLs with NEXT_PUBLIC_DSH_API_BASE_URL=http://localhost:58080. Use generated client.,ADAPT_NORMALIZE,"Control panel is empty in target. Donor stores pages are the primary reference for control-panel implementation.",NEXT_PUBLIC_DSH_API_BASE_URL=http://localhost:58080 pnpm --dir apps/control-panel/runtime dev --port 13000
control-panel/runtime/src/ (catalog),apps/control-panel/runtime/src/features/catalog/,dsh,control-panel,frontend-surface,catalog-admin,Control panel catalog management.,MEDIUM — check for old ports and direct fetch.,Normalize API URL to 58080. Use generated client.,ADAPT_NORMALIZE,"Valid reference for DSH-003 control-panel surface.","N/A — DSH-003 not yet implemented"
control-panel/runtime/src/ (orders),apps/control-panel/runtime/src/features/orders/,dsh,control-panel,frontend-surface,orders-admin,Control panel order management and operations view.,MEDIUM — check for financial display that goes beyond read-only status.,Remove any financial mutation UI. Orders view is status and detail only.,ADAPT_NORMALIZE,"Valid reference for DSH-006 control-panel surface.","N/A — DSH-006 not yet implemented"
control-panel/runtime/src/ (finance),apps/control-panel/runtime/src/features/finance/,dsh,control-panel,frontend-surface,finance-visibility,Finance visibility pages in control panel.,HIGH — finance pages in donor may contain WLT mutations or ledger calls.,Extract ONLY: paymentStatus display|settlementStatus read-only label|financialReference display. REJECT any mutation UI.,REJECT_FINANCE_BOUNDARY_VIOLATION,"Finance pages must be READ-ONLY reference to WLT. Any mutation UI in donor finance pages is REJECTED.","N/A — DSH-010 not yet implemented"
wlt/backend/,services/wlt/backend/,wlt,system,backend,wlt-payment-service,WLT payment handlers: wallet/payment/refund/settlement/payout/ledger.,HIGH — contains all financial mutations. Must stay in WLT only.,WLT backend stays in WLT. Zero extraction to DSH.,REFERENCE_ONLY,"WLT backend is the financial truth owner. Never extract to DSH. DSH only reads WLT references.","N/A — WLT is CONTRACT_ONLY in target until activation"
wlt/backend/ (payment mutations),services/dsh/,wlt→dsh,system,backend,financial-mutations-in-dsh,Any WLT financial mutation logic found inside DSH handlers.,CRITICAL — financial boundary violation.,N/A,REJECT_FINANCE_BOUNDARY_VIOLATION,"DSH must NEVER own financial mutation. Any donor pattern mixing DSH+WLT financial logic is REJECTED.","pnpm run guard:no-financial-mutation-outside-wlt — must return 0 violations"
docker/ (compose files with old ports),infra/docker/compose.runtime.yml,core,system,docker,docker-runtime,Donor docker-compose files with ports 8080/8081/8082/8083/8084/3000.,HIGH — old ports must never appear in target.,Map container port 8080 to host port 58080. Never expose 8080 as host port.,ADAPT_NORMALIZE,"Donor compose structure is reference. All host ports must be normalized to canonical ports.",docker compose -f infra/docker/compose.runtime.yml ps
docker/ (compose with memory repos),infra/docker/compose.runtime.yml,core,system,docker,memory-repo-runtime,Any compose service using in-memory data store without persistence.,HIGH — memory repos lose data on restart and violate runtime contract.,Replace with Postgres-backed persistence.,REJECT_RUNTIME_RISK,"Memory repositories are forbidden in runtime. Any donor service using in-memory store must be rewritten with SQL.","N/A — guard:no-memory-repo enforced"
ui-kit/ (components),shared/ui-kit/,shared,all-surfaces,frontend-shared,ui-kit-components,Donor UI kit components: cards/buttons/inputs/layout/navigation.,MEDIUM — check for direct Tamagui or local design system bypass.,Ensure all components are exported through shared/ui-kit package boundary. No direct Tamagui in app code.,ADAPT_NORMALIZE,"Donor ui-kit components are valid reference. Must be normalized to target shared/ui-kit package structure.",pnpm run guard:ui-kit-compliance
tools/guards/ (financial boundary),tools/guards/no-financial-mutation-outside-wlt.mjs,core,system,governance,financial-boundary-guard,Guard script that scans for financial mutations outside WLT.,LOW — governance tool only.,Verify guard covers all financial mutation tokens.,ADOPT_AS_IS,"Guard already exists in target. Donor guard is upstream reference. Verify coverage completeness.",pnpm run guard:no-financial-mutation-outside-wlt
app-captain/runtime/src/ (delivery),apps/app-captain/runtime/src/features/delivery/,dsh,app-captain,frontend-surface,captain-delivery-lifecycle,Captain delivery screens: order list/pickup/delivery/status update.,MEDIUM — check for COD collection UI (WLT boundary).,Remove any COD amount display or collection trigger. Captain sees delivery status only.,ADAPT_NORMALIZE,"Captain screens are valid reference for DSH-007. COD financial flows must be stripped to WLT.","N/A — DSH-007 not yet implemented"
app-field/runtime/src/ (readiness),apps/app-field/runtime/src/features/readiness/,dsh,app-field,frontend-surface,field-readiness,Field agent onboarding and readiness screens.,LOW — field screens have no financial data.,Normalize to ui-kit. Remove any hardcoded store IDs.,ADAPT_NORMALIZE,"Field screens are valid reference for DSH-008.","N/A — DSH-008 not yet implemented"
