"record_id","source_path","target_path","target_anchor","fragment_id","owner","service","section","surface","consumer_surfaces","capability","slice_id","integration_scope","layer","artifact_type","imports","runtime_data","api_binding","db_dependency","auth_dependency","wlt_dependency","ui_kit_compliance","test_coverage","evidence","decision","action","risk","rollback","status","next_action"
"EXT-0021","SPEC:DSH-001:contract","services/dsh/contracts/dsh.openapi.yaml","paths:/dsh/stores","fragment:EXT-0021","dsh","dsh","none","app-client","","store-discovery","DSH-001","none","contract","planned-contract","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED: GET /dsh/stores and GET /dsh/stores/{storeId}","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0022","SPEC:DSH-001:database","services/dsh/database/migrations/dsh-001_store_discovery.sql","","fragment:EXT-0022","dsh","dsh","none","app-client","","store-discovery","DSH-001","none","database","planned-database","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","service-owned schema required","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0023","SPEC:DSH-001:backend","services/dsh/backend/store-discovery","","fragment:EXT-0023","dsh","dsh","none","app-client","","store-discovery","DSH-001","none","backend","planned-backend","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","service-owned schema required","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0024","SPEC:DSH-001:client","services/dsh/clients/generated/store-discovery","","fragment:EXT-0024","dsh","dsh","none","app-client","","store-discovery","DSH-001","none","client","planned-client","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0025","SPEC:DSH-001:frontend-shared","services/dsh/frontend/shared/store","","fragment:EXT-0025","dsh","dsh","none","shared","app-client|control-panel","store-discovery","DSH-001","none","frontend-shared","planned-frontend-shared","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","public @bthwani/ui-kit exports only","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0026","SPEC:DSH-001:screen","services/dsh/frontend/app-client/store/StoreDiscoveryScreen.tsx","component:StoreDiscoveryScreen","fragment:EXT-0026","dsh","dsh","none","app-client","","store-discovery","DSH-001","none","screen","planned-screen","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","public @bthwani/ui-kit exports only","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0027","SPEC:DSH-001:route","services/dsh/frontend/app-client/store/StoreDiscoveryRoute.tsx","","fragment:EXT-0027","dsh","dsh","none","app-client","","store-discovery","DSH-001","none","route","planned-route","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","public @bthwani/ui-kit exports only","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0028","SPEC:DSH-001:app-mount","apps/app-client","","fragment:EXT-0028","dsh","dsh","none","app-client","","store-discovery","DSH-001","none","app-mount","planned-app-mount","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0029","SPEC:DSH-001:docker","infra/docker/profiles/dsh","","fragment:EXT-0029","dsh","dsh","none","app-client","","store-discovery","DSH-001","none","docker","planned-docker","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0030","SPEC:DSH-001:guard","services/dsh/guards/dsh-001","","fragment:EXT-0030","dsh","dsh","none","app-client","","store-discovery","DSH-001","none","guard","planned-guard","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0031","SPEC:DSH-001:evidence","tools/registry/runs/DSH-001-<SESSION>","","fragment:EXT-0031","core","core","none","app-client","","identity-access","DSH-001","none","evidence","planned-evidence","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0032","SPEC:DSH-001:visual-reference","DONOR_VISUAL_REFERENCE:DSH-001","","fragment:EXT-0032","dsh","dsh","none","app-client","","store-discovery","DSH-001","none","visual-reference","planned-visual-reference","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0033","SPEC:DSH-002:governance","services/dsh/service.manifest.ts","","fragment:EXT-0033","dsh","dsh","none","app-client","","storefront-catalog","DSH-002","none","governance","service-manifest","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0034","SPEC:DSH-002:domain","services/dsh/domain/storefront-catalog/storefront-catalog.types.ts","","fragment:EXT-0034","dsh","dsh","none","app-client","","storefront-catalog","DSH-002","none","domain","planned-domain","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0035","SPEC:DSH-002:contract","services/dsh/contracts/dsh.openapi.yaml","contract:DSH-002","fragment:EXT-0035","dsh","dsh","none","app-client","","storefront-catalog","DSH-002","none","contract","planned-contract","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0036","SPEC:DSH-002:database","services/dsh/database/migrations/dsh-002_storefront_catalog.sql","","fragment:EXT-0036","dsh","dsh","none","app-client","","storefront-catalog","DSH-002","none","database","planned-database","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","service-owned schema required","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0037","SPEC:DSH-002:backend","services/dsh/backend/storefront-catalog","","fragment:EXT-0037","dsh","dsh","none","app-client","","storefront-catalog","DSH-002","none","backend","planned-backend","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","service-owned schema required","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0038","SPEC:DSH-002:client","services/dsh/clients/generated/storefront-catalog","","fragment:EXT-0038","dsh","dsh","none","app-client","","storefront-catalog","DSH-002","none","client","planned-client","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0039","SPEC:DSH-002:frontend-shared","services/dsh/frontend/shared/storefront-catalog","","fragment:EXT-0039","dsh","dsh","none","shared","app-client|control-panel","storefront-catalog","DSH-002","none","frontend-shared","planned-frontend-shared","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","public @bthwani/ui-kit exports only","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0040","SPEC:DSH-002:screen","services/dsh/frontend/app-client/storefront-catalog/StorefrontCatalogScreen.tsx","component:StorefrontCatalogScreen","fragment:EXT-0040","dsh","dsh","none","app-client","","storefront-catalog","DSH-002","none","screen","planned-screen","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","public @bthwani/ui-kit exports only","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0041","SPEC:DSH-002:route","services/dsh/frontend/app-client/storefront-catalog/StorefrontCatalogRoute.tsx","","fragment:EXT-0041","dsh","dsh","none","app-client","","storefront-catalog","DSH-002","none","route","planned-route","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","public @bthwani/ui-kit exports only","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0042","SPEC:DSH-002:app-mount","apps/app-client","","fragment:EXT-0042","dsh","dsh","none","app-client","","storefront-catalog","DSH-002","none","app-mount","planned-app-mount","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0043","SPEC:DSH-002:docker","infra/docker/profiles/dsh","","fragment:EXT-0043","dsh","dsh","none","app-client","","storefront-catalog","DSH-002","none","docker","planned-docker","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0044","SPEC:DSH-002:guard","services/dsh/guards/dsh-002","","fragment:EXT-0044","dsh","dsh","none","app-client","","storefront-catalog","DSH-002","none","guard","planned-guard","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0045","SPEC:DSH-002:evidence","tools/registry/runs/DSH-002-<SESSION>","","fragment:EXT-0045","core","core","none","app-client","","identity-access","DSH-002","none","evidence","planned-evidence","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0046","SPEC:DSH-002:visual-reference","DONOR_VISUAL_REFERENCE:DSH-002","","fragment:EXT-0046","dsh","dsh","none","app-client","","storefront-catalog","DSH-002","none","visual-reference","planned-visual-reference","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-002 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-002 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
"EXT-0047","SPEC:DSH-003:governance","services/dsh/service.manifest.ts","","fragment:EXT-0047","dsh","dsh","none","app-client","","cart-serviceability","DSH-003","none","governance","service-manifest","derive from approved service contract only","no runtime truth exists in target for this planned layer","NEW_REQUIRED in named service slice","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-003 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-003 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","INVENTORY_ONLY","Keep inventory-only until preceding slices close"
