"page_id","section","service","capability","slice_id","page_type","target_path","route_path","actor","allowed_actions","api_contract","db_dependency","wlt_boundary","permissions","states_required","filters_required","table_columns_required","bulk_actions_allowed","audit_required","visual_reference_required","evidence_required","status","next_action"
"CP-011","operations","dsh","operations-room","DSH-011","queue","services/dsh/frontend/control-panel/operations/DispatchAssignmentScreen.tsx","services/dsh/frontend/control-panel/operations/DispatchAssignmentRoute.tsx","operator","inspect and submit explicitly authorized operational decision with reason and evidence","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","operations function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","DispatchAssignmentScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-012","operations","dsh","operations-room","DSH-011","review","services/dsh/frontend/control-panel/operations/OrderRescueScreen.tsx","services/dsh/frontend/control-panel/operations/OrderRescueRoute.tsx","operator","inspect and submit explicitly authorized operational decision with reason and evidence","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","operations function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","OrderRescueScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-013","operations","dsh","operations-room","DSH-011","editor","services/dsh/frontend/control-panel/operations/AssistedOrderDeskScreen.tsx","services/dsh/frontend/control-panel/operations/AssistedOrderDeskRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","operations function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes for sensitive reads or actions","yes","AssistedOrderDeskScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-014","operations","dsh","operations-room","DSH-011","metrics","services/dsh/frontend/control-panel/operations/AreaCapacityScreen.tsx","services/dsh/frontend/control-panel/operations/AreaCapacityRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","operations function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","context and time range when applicable","not-applicable","no","yes for sensitive reads or actions","yes","AreaCapacityScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-015","operations","dsh","operations-room","DSH-011","queue","services/dsh/frontend/control-panel/operations/ExceptionsEscalationsScreen.tsx","services/dsh/frontend/control-panel/operations/ExceptionsEscalationsRoute.tsx","operator","inspect and submit explicitly authorized operational decision with reason and evidence","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","operations function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","ExceptionsEscalationsScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-016","operations","dsh","operations-room","DSH-011","metrics","services/dsh/frontend/control-panel/operations/GeoHeatmapScreen.tsx","services/dsh/frontend/control-panel/operations/GeoHeatmapRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","operations function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","context and time range when applicable","not-applicable","no","yes for sensitive reads or actions","yes","GeoHeatmapScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-017","operations","dsh","operations-room","DSH-011","timeline","services/dsh/frontend/control-panel/operations/AuditSupportSlaScreen.tsx","services/dsh/frontend/control-panel/operations/AuditSupportSlaRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","operations function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","context and time range when applicable","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","AuditSupportSlaScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-018","wallet-finance","wlt","payment-session","WLT-001","read-only-finance","services/wlt/frontend/control-panel/wallet-finance/payment-session/PaymentSessionsScreen.tsx","services/wlt/frontend/control-panel/wallet-finance/payment-session/PaymentSessionsRoute.tsx","finance-operator","read,filter,inspect,export authorized WLT reference; no DSH financial mutation","NEW_REQUIRED: WLT-owned read contract in WLT-005","WLT-owned audited read model","wlt-owned-financial-truth","wallet-finance function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","PaymentSessionsScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in WLT-005 after service contract and read model approval"
"CP-019","wallet-finance","wlt","payment-session","WLT-001","read-only-finance","services/wlt/frontend/control-panel/wallet-finance/payment-session/WalletSummaryScreen.tsx","services/wlt/frontend/control-panel/wallet-finance/payment-session/WalletSummaryRoute.tsx","finance-operator","read,filter,inspect,export authorized WLT reference; no DSH financial mutation","NEW_REQUIRED: WLT-owned read contract in WLT-005","WLT-owned audited read model","wlt-owned-financial-truth","wallet-finance function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","WalletSummaryScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in WLT-005 after service contract and read model approval"
"CP-020","wallet-finance","wlt","refund-status","WLT-002","read-only-finance","services/wlt/frontend/control-panel/wallet-finance/refund-status/RefundStatusScreen.tsx","services/wlt/frontend/control-panel/wallet-finance/refund-status/RefundStatusRoute.tsx","finance-operator","read,filter,inspect,export authorized WLT reference; no DSH financial mutation","NEW_REQUIRED: WLT-owned read contract in WLT-002","WLT-owned audited read model","wlt-owned-financial-truth","wallet-finance function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","RefundStatusScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in WLT-002 after service contract and read model approval"
"CP-021","wallet-finance","wlt","settlement-status-read","WLT-003","read-only-finance","services/wlt/frontend/control-panel/wallet-finance/settlement-status-read/SettlementStatusScreen.tsx","services/wlt/frontend/control-panel/wallet-finance/settlement-status-read/SettlementStatusRoute.tsx","finance-operator","read,filter,inspect,export authorized WLT reference; no DSH financial mutation","NEW_REQUIRED: WLT-owned read contract in WLT-003","WLT-owned audited read model","wlt-owned-financial-truth","wallet-finance function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","SettlementStatusScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in WLT-003 after service contract and read model approval"
"CP-022","wallet-finance","wlt","settlement-status-read","WLT-003","read-only-finance","services/wlt/frontend/control-panel/wallet-finance/settlement-status-read/PayoutStatusScreen.tsx","services/wlt/frontend/control-panel/wallet-finance/settlement-status-read/PayoutStatusRoute.tsx","finance-operator","read,filter,inspect,export authorized WLT reference; no DSH financial mutation","NEW_REQUIRED: WLT-owned read contract in WLT-003","WLT-owned audited read model","wlt-owned-financial-truth","wallet-finance function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","PayoutStatusScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in WLT-003 after service contract and read model approval"
"CP-023","wallet-finance","wlt","commission-reference","WLT-004","read-only-finance","services/wlt/frontend/control-panel/wallet-finance/commission-reference/CommissionReferenceScreen.tsx","services/wlt/frontend/control-panel/wallet-finance/commission-reference/CommissionReferenceRoute.tsx","finance-operator","read,filter,inspect,export authorized WLT reference; no DSH financial mutation","NEW_REQUIRED: WLT-owned read contract in WLT-004","WLT-owned audited read model","wlt-owned-financial-truth","wallet-finance function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","CommissionReferenceScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in WLT-004 after service contract and read model approval"
"CP-024","wallet-finance","wlt","cod-reference","WLT-004","read-only-finance","services/wlt/frontend/control-panel/wallet-finance/cod-reference/CodStatusScreen.tsx","services/wlt/frontend/control-panel/wallet-finance/cod-reference/CodStatusRoute.tsx","finance-operator","read,filter,inspect,export authorized WLT reference; no DSH financial mutation","NEW_REQUIRED: WLT-owned read contract in WLT-004","WLT-owned audited read model","wlt-owned-financial-truth","wallet-finance function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","CodStatusScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in WLT-004 after service contract and read model approval"
"CP-025","wallet-finance","wlt","minimal-ledger-reference","WLT-005","timeline","services/wlt/frontend/control-panel/wallet-finance/minimal-ledger-reference/LedgerAuditScreen.tsx","services/wlt/frontend/control-panel/wallet-finance/minimal-ledger-reference/LedgerAuditRoute.tsx","finance-operator","read,filter,inspect,export authorized WLT reference; no DSH financial mutation","NEW_REQUIRED: WLT-owned read contract in WLT-005","WLT-owned audited read model","wlt-owned-financial-truth","wallet-finance function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","LedgerAuditScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in WLT-005 after service contract and read model approval"
"CP-026","wallet-finance","wlt","reconciliation","WLT-005","timeline","services/wlt/frontend/control-panel/wallet-finance/reconciliation/ReconciliationScreen.tsx","services/wlt/frontend/control-panel/wallet-finance/reconciliation/ReconciliationRoute.tsx","finance-operator","read,filter,inspect,export authorized WLT reference; no DSH financial mutation","NEW_REQUIRED: WLT-owned read contract in WLT-003","WLT-owned audited read model","wlt-owned-financial-truth","wallet-finance function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","ReconciliationScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in WLT-003 after service contract and read model approval"
"CP-027","wallet-finance","wlt","reconciliation","WLT-005","read-only-finance","services/wlt/frontend/control-panel/wallet-finance/reconciliation/DailyReconciliationScreen.tsx","services/wlt/frontend/control-panel/wallet-finance/reconciliation/DailyReconciliationRoute.tsx","finance-operator","read,filter,inspect,export authorized WLT reference; no DSH financial mutation","NEW_REQUIRED: WLT-owned read contract in WLT-003","WLT-owned audited read model","wlt-owned-financial-truth","wallet-finance function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","DailyReconciliationScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in WLT-003 after service contract and read model approval"
"CP-028","wallet-finance","wlt","minimal-ledger-reference","WLT-005","timeline","services/wlt/frontend/control-panel/wallet-finance/minimal-ledger-reference/FinanceAuditScreen.tsx","services/wlt/frontend/control-panel/wallet-finance/minimal-ledger-reference/FinanceAuditRoute.tsx","finance-operator","read,filter,inspect,export authorized WLT reference; no DSH financial mutation","NEW_REQUIRED: WLT-owned read contract in WLT-005","WLT-owned audited read model","wlt-owned-financial-truth","wallet-finance function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","FinanceAuditScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in WLT-005 after service contract and read model approval"
"CP-029","support","dsh","support-queue","DSH-014","queue","services/dsh/frontend/control-panel/support/SupportQueueScreen.tsx","services/dsh/frontend/control-panel/support/SupportQueueRoute.tsx","operator","inspect and submit explicitly authorized operational decision with reason and evidence","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","support function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","SupportQueueScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-030","support","dsh","support-queue","DSH-014","data-table","services/dsh/frontend/control-panel/support/SupportTicketListScreen.tsx","services/dsh/frontend/control-panel/support/SupportTicketListRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","support function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes for sensitive reads or actions","yes","SupportTicketListScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-031","support","dsh","support-queue","DSH-014","detail","services/dsh/frontend/control-panel/support/SupportTicketDetailScreen.tsx","services/dsh/frontend/control-panel/support/SupportTicketDetailRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","support function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","context and time range when applicable","not-applicable","no","yes for sensitive reads or actions","yes","SupportTicketDetailScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-032","support","dsh","support-queue","DSH-014","queue","services/dsh/frontend/control-panel/support/SupportEscalationQueueScreen.tsx","services/dsh/frontend/control-panel/support/SupportEscalationQueueRoute.tsx","operator","inspect and submit explicitly authorized operational decision with reason and evidence","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","support function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","SupportEscalationQueueScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-033","support","dsh","support-queue","DSH-014","metrics","services/dsh/frontend/control-panel/support/SupportSlaDashboardScreen.tsx","services/dsh/frontend/control-panel/support/SupportSlaDashboardRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","support function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","context and time range when applicable","not-applicable","no","yes for sensitive reads or actions","yes","SupportSlaDashboardScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-034","support","dsh","support-queue","DSH-014","detail","services/dsh/frontend/control-panel/support/Customer360Screen.tsx","services/dsh/frontend/control-panel/support/Customer360Route.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","support function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","context and time range when applicable","not-applicable","no","yes for sensitive reads or actions","yes","Customer360Screen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-035","support","dsh","support-queue","DSH-014","editor","services/dsh/frontend/control-panel/support/ManualCallIntakeScreen.tsx","services/dsh/frontend/control-panel/support/ManualCallIntakeRoute.tsx","operator","inspect and submit explicitly authorized operational decision with reason and evidence","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","support function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","ManualCallIntakeScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-036","support","dsh","support-queue","DSH-014","queue","services/dsh/frontend/control-panel/support/ClientMessagingWorkspaceScreen.tsx","services/dsh/frontend/control-panel/support/ClientMessagingWorkspaceRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","support function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes for sensitive reads or actions","yes","ClientMessagingWorkspaceScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
