"journey_id","app","surface","service","capability","slice_id","actor","entry_point","screen_sequence","target_paths","api_contracts","db_dependency","wlt_dependency","permissions","primary_actions","secondary_actions","states_required","offline_or_retry_required","visual_reference_required","evidence_required","status","next_action"
"JRN-011","app-client","app-client","dsh","refund-bridge","DSH-WLT-002","client","app-client canonical navigation","app-client canonical navigation > CancelOrderRequestScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/refund-bridge/CancelOrderRequestScreen.tsx","NEW_REQUIRED in DSH-WLT-002","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'CancelOrderRequestScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","perform the journey-specific authorized operation","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","CancelOrderRequestScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-WLT-002 entry gate"
"JRN-012","app-client","app-client","dsh","refund-bridge","DSH-WLT-002","client","app-client canonical navigation","app-client canonical navigation > RefundRequestStatusScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/refund-bridge/RefundRequestStatusScreen.tsx","NEW_REQUIRED: correlated DSH/WLT service contract","No local runtime truth; use owning service aggregate/read model only","Required read-only WLT reference/status contract","For 'RefundRequestStatusScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","read correlated WLT status/reference without mutating financial truth","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","RefundRequestStatusScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","BLOCKED_NEEDS_WLT","Retain until DSH-WLT-002 entry gate"
"JRN-013","app-client","app-client","dsh","support-entry","DSH-014","client","app-client canonical navigation","app-client canonical navigation > SupportEntryScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/support-entry/SupportEntryScreen.tsx","NEW_REQUIRED in DSH-011","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'SupportEntryScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","perform the journey-specific authorized operation","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","SupportEntryScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-011 entry gate"
"JRN-014","app-client","app-client","dsh","notifications-readiness","DSH-013","client","app-client canonical navigation","app-client canonical navigation > NotificationsReadinessScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/notifications-readiness/NotificationsReadinessScreen.tsx","NEW_REQUIRED in DSH-008","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'NotificationsReadinessScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","inspect assigned visit, capture required checklist/evidence, and submit readiness result","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","NotificationsReadinessScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-008 entry gate"
"JRN-015","app-client","app-client","dsh","store-discovery","DSH-001","client","app-client canonical navigation","app-client canonical navigation > EmptyDiscoveryRecoveryScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/store-discovery/EmptyDiscoveryRecoveryScreen.tsx","NEW_REQUIRED: GET /dsh/stores or GET /dsh/stores/{storeId}","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'EmptyDiscoveryRecoveryScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","browse visible serviceable stores and open an authorized store detail","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","EmptyDiscoveryRecoveryScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","BLOCKED_NEEDS_API_CONTRACT","Approve Store Discovery OpenAPI first"
"JRN-016","app-client","app-client","dsh","cart-serviceability","DSH-003","client","app-client canonical navigation","app-client canonical navigation > OfflineCartRecoveryScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/cart-serviceability/OfflineCartRecoveryScreen.tsx","NEW_REQUIRED in DSH-003","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'OfflineCartRecoveryScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","perform the journey-specific authorized operation","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","OfflineCartRecoveryScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-003 entry gate"
"JRN-017","app-client","app-client","dsh","payment-integration","DSH-WLT-001","client","app-client canonical navigation","app-client canonical navigation > PaymentTimeoutRecoveryScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/payment-integration/PaymentTimeoutRecoveryScreen.tsx","NEW_REQUIRED in DSH-WLT-001","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'PaymentTimeoutRecoveryScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","perform the journey-specific authorized operation","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","PaymentTimeoutRecoveryScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-WLT-001 entry gate"
"JRN-018","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > HomeReadinessScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/HomeReadinessScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'HomeReadinessScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","HomeReadinessScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
"JRN-019","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > StoreReadinessScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/StoreReadinessScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'StoreReadinessScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","StoreReadinessScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
"JRN-020","app-partner","app-partner","dsh","partner-catalog-management","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > CatalogManagementScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-catalog-management/CatalogManagementScreen.tsx","NEW_REQUIRED in DSH-002","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'CatalogManagementScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","perform the journey-specific authorized operation","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","CatalogManagementScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-002 entry gate"
"JRN-021","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > IncomingOrdersScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/IncomingOrdersScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'IncomingOrdersScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","IncomingOrdersScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
"JRN-022","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > OrderDetailScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/OrderDetailScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'OrderDetailScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","OrderDetailScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
"JRN-023","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > AcceptOrderScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/AcceptOrderScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'AcceptOrderScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","AcceptOrderScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
"JRN-024","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > RejectOrderScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/RejectOrderScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'RejectOrderScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","RejectOrderScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
"JRN-025","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > MarkPreparingScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/MarkPreparingScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'MarkPreparingScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","MarkPreparingScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
"JRN-026","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > MarkReadyScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/MarkReadyScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'MarkReadyScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","MarkReadyScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
"JRN-027","app-partner","app-partner","dsh","support-entry","DSH-014","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > SupportEntryScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/support-entry/SupportEntryScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'SupportEntryScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","SupportEntryScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
"JRN-028","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > SettlementStatusReadScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/SettlementStatusReadScreen.tsx","NEW_REQUIRED: correlated DSH/WLT service contract","No local runtime truth; use owning service aggregate/read model only","Required read-only WLT reference/status contract","For 'SettlementStatusReadScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","SettlementStatusReadScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","BLOCKED_NEEDS_WLT","Retain until DSH-006 entry gate"
"JRN-029","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > DocumentReviewReadinessScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/DocumentReviewReadinessScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'DocumentReviewReadinessScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","DocumentReviewReadinessScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
"JRN-030","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > ActivationReadinessScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/ActivationReadinessScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'ActivationReadinessScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","ActivationReadinessScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
"JRN-031","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > DeactivationStatusScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/DeactivationStatusScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'DeactivationStatusScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","DeactivationStatusScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
"JRN-032","app-partner","app-partner","dsh","partner-orders","DSH-006","partner","app-partner canonical navigation","partner shell > store ownership/readiness gate > OrderConflictRecoveryScreen > authorized store action or read-only status > audit-aware outcome","services/dsh/frontend/app-partner/partner-orders/OrderConflictRecoveryScreen.tsx","NEW_REQUIRED in DSH-006","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'OrderConflictRecoveryScreen': partner identity plus own/assigned/store scope appropriate to app-partner; deny route and data when scope fails","inspect owned-store order and submit the named partner transition","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","OrderConflictRecoveryScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-006 entry gate"
